provision_id,document,section_or_regulation,date,theme,provision_text_summary,relevance_to_tokenization,min_investment_change,source_url,access_date
P01,SEBI InvIT 3rd Amendment Regulations 2025,Regulation 14(2)(c),2025-09-02,minimum investment,"Minimum subscription/investment for any investor in a privately placed InvIT is reduced from Rs 1 crore to Rs 25 lakh. The prior higher-threshold proviso (Rs 25 crore minimum for InvITs investing ≥80% in completed revenue-generating assets) is simultaneously omitted, unifying the minimum at Rs 25 lakh across all privately placed InvIT structures.","Core treatment event: reduces minimum ticket from Rs 1 crore to Rs 25 lakh for privately placed InvITs. Directly lowers the barrier to entry for retail/smaller investors, a critical precondition for tokenized fractional ownership of InvIT units to be feasible at sub-Rs-1-crore denominations. Empirical analysis should use September 2025 gazette date as the treatment date.","OLD: Rs 1 crore (one crore rupees) per investor. NEW: Rs 25 lakh (twenty-five lakh rupees) per investor. Reduction factor: 75% cut. Simultaneously, the exception clause allowing Rs 25 crore minimum for 80%-completed-assets InvITs is omitted.",https://www.sebi.gov.in/sebi_data/attachdocs/sep-2025/1757046936652.pdf,2026-06-06
P02,SEBI InvIT 3rd Amendment Regulations 2025,Regulation 2(1)(zq),2025-09-02,unitholder rights,"Definition of 'public' for InvIT purposes is revised. 'Public' now explicitly excludes related parties of the InvIT/sponsor/investment manager/project manager, but includes qualified institutional buyers (QIBs) who are related parties if they invest in an offer. Sponsor, sponsor group, investment manager and project manager are expressly excluded from the 'public' definition.","Clarifies which unitholders count toward public unitholding requirements — relevant for tokenized secondary market structuring, as tokenized retail participants would qualify as 'public' and help InvITs meet minimum public unitholding thresholds.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2025/1757046936652.pdf,2026-06-06
P03,SEBI InvIT 3rd Amendment Regulations 2025,Regulation 10(18),2025-09-02,disclosure/governance,"Quarterly reporting timelines for trustees (submission of receipts/payments/performance/under-construction project status) are changed from a fixed '30 days from end of quarter' to 'such time as may be specified by the Board for submission of quarterly financial results'. Valuation reports under Regulation 21(4)(5)(5A) must be simultaneously submitted to the trustee when filed with stock exchanges.","Aligns disclosure timelines with quarterly financial results — reduces compliance fragmentation. For tokenized InvITs, real-time data availability is a key investor feature; alignment of valuation and trustee reporting with exchange filings supports automated data feeds for smart contract-based distributions.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2025/1757046936652.pdf,2026-06-06
P04,SEBI InvIT 3rd Amendment Regulations 2025,Regulation 21(5A) [new insertion],2025-09-02,disclosure/governance,"New sub-regulation 21(5A) inserted: if an InvIT's consolidated borrowings and deferred payments exceed 49% of InvIT assets (per Regulation 20), a quarterly valuation by the valuer is mandatory as at end of June, September, and December quarters, submitted with quarterly financial results. The September quarter valuation is waived if half-yearly valuation under Reg 21(5) has been submitted.",High-leverage InvITs (above 49% gearing) face enhanced quarterly valuation disclosure. Directly relevant to tokenization structuring since over-levered InvITs carry higher risk; token issuers would need to disclose quarterly NAV updates to token holders — aligns with best practice for digital asset disclosures.,not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2025/1757046936652.pdf,2026-06-06
P05,SEBI InvIT 3rd Amendment Regulations 2025,Regulation 18(6)(ba) — proviso inserted,2025-09-02,disclosure/governance,"New proviso: if a holding company's (holdco's) net distributable cash flow (NDCF) is negative on its own, the holdco may offset it against cash flows from underlying SPVs, provided it makes appropriate disclosures to unitholders in the form/manner specified by SEBI.","Addresses holdco-level NDCF negativity scenarios — directly relevant to tokenized InvIT distribution waterfalls. Smart contracts automating distributions must account for the possibility that holdco-level NDCF could be netted against SPV cashflows; this provision enables such netting with disclosure obligations.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2025/1757046936652.pdf,2026-06-06
P06,SEBI InvIT 3rd Amendment Regulations 2025,Regulation 23(4) and new Regulation 23(4A),2025-09-02,listing/liquidity,"Half-yearly compliance report by investment manager for publicly offered InvITs is now submitted along with quarterly financial results for the quarter ending September 30 (instead of within 45 days of the September half-year end). New sub-regulation 23(4A) inserted (for privately placed InvITs or high-leverage InvITs — exact text on pages 9-10 of the amendment, not fully extracted) covering quarterly reporting obligations.","Aligning reporting with exchange-driven timelines improves market transparency — a prerequisite for liquid secondary trading of tokenized units. For a tokenized InvIT, seamless quarterly data flow to the blockchain or token registry reduces information asymmetry.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2025/1757046936652.pdf,2026-06-06
P07,SEBI Master Circular for InvITs,Chapter 2 / Regulation 14(4),2025-07-11,minimum investment,"For public InvIT issues, allocation is: not more than 75% to Institutional Investors, not less than 25% to other investors. Anchor investors must make applications of at least Rs 10 crore. Minimum application/trading lot for secondary market is equivalent to the minimum allotment and trading lot for units of the same class under extant InvIT Regulations.","Public InvITs have no explicit per-investor minimum subscription (unlike privately placed InvITs). Secondary market trading lot is determined by InvIT Regulations. Tokenization of public InvIT units would allow fractional trading below formal trading lot sizes, contingent on regulatory approval for fractional token representation.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,2026-06-06
P08,SEBI Master Circular for InvITs,Chapter 21 / Regulation 14(1A),2025-07-11,minimum investment / listing/liquidity,"Any listed InvIT with public unitholding below 25% must increase public unitholding to at least 25% within three years from date of listing. Methods to achieve this include: public issue, offer for sale via OFS/secondary market, rights issue with sponsor forgoing entitlement, bonus issue, institutional placement, or block deal through stock exchange mechanism (SEBI circular January 10 2023).","Minimum 25% public unitholding requirement creates a structural demand for broad-based investor participation. Tokenization could be used as a mechanism to achieve this threshold by enabling smaller investors to hold tokenized units counted as 'public unitholding'. This is a key enabling linkage between the min-investment cut (P01) and the unitholding mandate.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,2026-06-06
P09,SEBI Master Circular for InvITs,Chapter 22 / Regulation 22,2025-07-11,unitholder rights,"Unitholders holding ≥10% of total outstanding units ('Eligible Unitholders') have the right to nominate a director ('Unitholder Nominee Director') to the Board of Directors of the Investment Manager. Eligibility confirmed within 10 days; appointment completed within 30 days of confirmation. Nomination lapses if unitholding falls below 10% threshold.","Board representation rights for ≥10% unitholders create governance incentives for large token holders. In a tokenized InvIT, aggregated tokenholders meeting the 10% threshold (e.g. via a DAO or custodial aggregation) could exercise board nomination rights — important for governance design of tokenized infrastructure funds.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,2026-06-06
P10,SEBI Master Circular for InvITs,Chapter 14 / Regulation 14,2025-07-11,listing/liquidity,"Framework for conversion of privately placed (Private Listed) InvIT into a Public InvIT via a public issue. Conditions: (a) 80%+ assets must be in completed/revenue-generating assets; (b) compliance with all LODR for preceding 3 years or since listing; (c) no distribution default; (d) 75% unitholder approval by value required for the public issue. Sponsor minimum contribution: 15% of public issue units (25% if certain eligibility criteria unmet), locked-in for 18 months.","Critical pathway for tokenized InvITs: a private InvIT reduced to Rs 25 lakh minimum (P01) could attract a broad investor base and subsequently convert to a public InvIT, dramatically improving secondary market liquidity for token holders. The 75% unitholder approval requirement is manageable via digital token-based governance.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,2026-06-06
P11,SEBI Master Circular for InvITs,Chapter 15 / Regulation 14(2),2025-07-11,listing/liquidity,"Reduced listing timeline for privately placed InvIT units: end-to-end listing process (from closure of issue to commencement of trading) must be completed within 6 working days. Specific milestones: allotment by T+2, demat credit by T+4, listing application by T+5, trading commencement by T+6 working days from issue closure.","A 6-working-day listing timeline for private InvITs is relatively short and operationally compatible with blockchain-based issuance workflows. Tokenized InvITs issued on DLT could potentially compress these timelines further using atomic settlement, but must not violate the T+6 outer boundary established by this provision.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,2026-06-06
P12,SEBI Master Circular for InvITs,Chapter 4 / Regulation 22 (Investor Charter),2025-07-11,disclosure/governance,"Investor Charter (Chapter 25) requires InvITs to disclose rights of unitholders including: receipt of distribution within 15 days of record date; receipt of audited/unaudited financial results; access to annual report; right to information about related-party transactions. Aggregate consolidated borrowings capped at 70% of InvIT value (Investor Charter summary); increases above 25% require unitholders' approval and credit rating; above 49% requires AAA credit rating and use of funds only for acquisition/development.","Leverage cap (70% overall; 49% triggers enhanced oversight) is directly relevant to tokenization risk. Tokenized InvIT issuers would need to embed these leverage thresholds in smart contract covenant triggers or provide automated alerts to token holders when leverage crosses the 25% and 49% thresholds.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,2026-06-06
P13,SEBI Master Circular for InvITs,Chapter 3 / Section F — NDCF Framework,2025-07-11,disclosure/governance,"Net Distributable Cash Flow (NDCF) framework: distribution by InvIT to unitholders that is repayment of capital must be shown as a negative line item on the balance sheet under 'Distribution — Repayment of Capital' under Equity. Distribution must occur not less than once per financial year for publicly offered InvITs. The Statement of NDCF must be prepared for the InvIT and all underlying HoldCos and SPVs.","NDCF transparency at the SPV/HoldCo level is a foundational requirement for tokenized income-sharing structures. Smart contracts programmed to distribute proportional NDCF to token holders require granular NDCF data at all entity levels — the SEBI framework mandates exactly this, supporting automated distribution mechanics.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,2026-06-06
P14,SEBI Master Circular for InvITs,Chapter 18 / Regulation 10,2025-07-11,disclosure/governance,"Dematerialization of securities of HoldCos and SPVs held by InvITs: All securities (equity shares, debentures, etc.) held by InvITs in their underlying HoldCos and SPVs must be held in dematerialized form. This applies to both existing and new InvIT structures.","Mandatory dematerialization of HoldCo/SPV securities is a prerequisite for blockchain-based digitization of the InvIT ownership chain. If HoldCo/SPV instruments are already in demat form, the next step of representing InvIT units as digital tokens on a DLT registry is operationally and legally simpler. This is a key enabling provision for InvIT tokenization.",not applicable,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752576381910.pdf,2026-06-06
